browser,resolution,count
Opera/9.80 (Windows NT 6.2; WOW64; MRA 6.0 (build 6089)) Presto/2.12.388 Version/12.15,1366x768,1
Mozilla/5.0 (Windows NT 6.2; rv:1.4) Opera/21.0.1432.57,1366x768,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",1278x1022,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.129 Safari/537.36",1600x1200,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1707.221 Amigo/32.0.1707.221 MRCHROME SOC Safari/537.36",1920x1080,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.117 Safari/537.36",1280x1024,1
"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/536.5 (KHTML, like Gecko) YaBrowser/1.0.1084.5405 Chrome/19.0.1084.5405 Safari/536.5",1920x1080,1
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E),1920x1080,1
Opera/9.80 (Windows NT 5.1; Edition Yx 01) Presto/2.12.388 Version/12.15,1680x1050,1
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; GTB7.5; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0),1280x800,1
Opera/9.80 (Windows NT 6.1; U; MRA 8.1 (build 6337); ru) Presto/2.10.229 Version/11.61,1366x768,1
Opera/9.80 (Windows NT 6.2; WOW64) Presto/2.12.388 Version/12.14,1280x768,1
Opera/9.80 (Windows NT 5.1; U; Edition Next; ru) Presto/2.11.310 Version/12.50,1280x1024,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.172 YaBrowser/1.7.1364.13754 Safari/537.22",1600x900,1
Opera/9.80 (Windows NT 6.1; MRA 6.3 (build 7933)) Presto/2.12.388 Version/12.14,1600x900,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.71 Safari/537.36 MRCHROME ODKL",1680x1050,2
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E),1280x1024,1
Opera/9.80 (Windows NT 6.0; MRA 5.10 (build 5310)) Presto/2.12.388 Version/12.17,1280x768,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1713.116 Amigo/32.0.1713.116 MRCHROME SOC Safari/537.36",1600x900,1
"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1145.0 Safari/537.1",1600x900,1
"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1501.283 Safari/537.36 MRCHROME SOC",1366x768,1
"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36",1360x768,1
Opera/9.80 (Windows NT 6.1; WOW64; MRA 6.2 (build 7528)) Presto/2.12.388 Version/12.14,1920x1080,1
Opera/9.80 (Windows NT 6.1; WOW64; U; Edition Yx 01; ru) Presto/2.10.289 Version/12.02,1360x768,1
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Iron/33.0.1800.0  Chrome/33.0.1800.0 Safari/537.36",1920x1080,1
